"filename", "language", "Rust", "TOML", "Markdown", "CSV", "Properties", "YAML", "Ignore", "XML", "comment", "blank", "total"
"d:\mgr\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"d:\mgr\.env", "Properties", 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"d:\mgr\.idea\mgr.iml", "XML", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 27
"d:\mgr\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 8
"d:\mgr\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 7
"d:\mgr\Cargo.lock", "TOML", 0, 5993, 0, 0, 0, 0, 0, 0, 2, 617, 6612
"d:\mgr\Cargo.toml", "TOML", 0, 121, 0, 0, 0, 0, 0, 0, 104, 4, 229
"d:\mgr\README.md", "Markdown", 0, 0, 61, 0, 0, 0, 0, 0, 4, 29, 94
"d:\mgr\axum-casbin\Cargo.toml", "TOML", 0, 33, 0, 0, 0, 0, 0, 0, 1, 8, 42
"d:\mgr\axum-casbin\examples\rbac_with_domains_model.conf", "Properties", 0, 0, 0, 0, 10, 0, 0, 0, 0, 4, 14
"d:\mgr\axum-casbin\examples\rbac_with_domains_policy.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\mgr\axum-casbin\src\lib.rs", "Rust", 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\mgr\axum-casbin\src\middleware.rs", "Rust", 231, 0, 0, 0, 0, 0, 0, 0, 13, 24, 268
"d:\mgr\axum-casbin\tests\test_middleware.rs", "Rust", 57, 0, 0, 0, 0, 0, 0, 0, 30, 20, 107
"d:\mgr\axum-casbin\tests\test_middleware_domain.rs", "Rust", 57, 0, 0, 0, 0, 0, 0, 0, 21, 17, 95
"d:\mgr\axum-casbin\tests\test_set_enforcer.rs", "Rust", 59, 0, 0, 0, 0, 0, 0, 0, 31, 20, 110
"d:\mgr\codegen\Cargo.lock", "TOML", 0, 353, 0, 0, 0, 0, 0, 0, 2, 50, 405
"d:\mgr\codegen\Cargo.toml", "TOML", 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\mgr\codegen\README.md", "Markdown", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"d:\mgr\codegen\server\api\src\admin\sys_role_api.rs", "Rust", 45, 0, 0, 0, 0, 0, 0, 0, 0, 7, 52
"d:\mgr\codegen\server\model\src\admin\input\sys_role.rs", "Rust", 36, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"d:\mgr\codegen\server\service\src\admin\errors\sys_role_error.rs", "Rust", 28, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"d:\mgr\codegen\server\service\src\admin\sys_role_service.rs", "Rust", 130, 0, 0, 0, 0, 0, 0, 0, 0, 26, 156
"d:\mgr\codegen\src\lib.rs", "Rust", 174, 0, 0, 0, 0, 0, 0, 0, 6, 26, 206
"d:\mgr\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 111, 0, 0, 116, 3, 230
"d:\mgr\migration\Cargo.lock", "TOML", 0, 2959, 0, 0, 0, 0, 0, 0, 2, 332, 3293
"d:\mgr\migration\Cargo.toml", "TOML", 0, 20, 0, 0, 0, 0, 0, 0, 4, 3, 27
"d:\mgr\migration\README.md", "Markdown", 0, 0, 40, 0, 0, 0, 0, 0, 0, 20, 60
"d:\mgr\migration\src\data\m20241023_000001_insert_sys_domain.rs", "Rust", 21, 0, 0, 0, 0, 0, 0, 0, 8, 10, 39
"d:\mgr\migration\src\data\m20241024_000002_insert_sys_user.rs", "Rust", 24, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"d:\mgr\migration\src\data\m20241024_000003_insert_sys_role.rs", "Rust", 24, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"d:\mgr\migration\src\data\m20241024_000004_insert_sys_menu.rs", "Rust", 36, 0, 0, 0, 0, 0, 0, 0, 0, 7, 43
"d:\mgr\migration\src\data\m20241024_000005_insert_sys_user_role.rs", "Rust", 25, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"d:\mgr\migration\src\data\m20241024_000006_insert_sys_role_menu.rs", "Rust", 35, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42
"d:\mgr\migration\src\data\m20241024_000007_insert_casbin_rule.rs", "Rust", 66, 0, 0, 0, 0, 0, 0, 0, 3, 17, 86
"d:\mgr\migration\src\data\mod.rs", "Rust", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"d:\mgr\migration\src\lib.rs", "Rust", 63, 0, 0, 0, 0, 0, 0, 0, 4, 2, 69
"d:\mgr\migration\src\main.rs", "Rust", 6, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"d:\mgr\migration\src\schemas\m20240815_000001_create_enum_status.rs", "Rust", 70, 0, 0, 0, 0, 0, 0, 0, 4, 11, 85
"d:\mgr\migration\src\schemas\m20240815_000002_create_sys_user.rs", "Rust", 84, 0, 0, 0, 0, 0, 0, 0, 3, 9, 96
"d:\mgr\migration\src\schemas\m20241023_000003_create_sys_role.rs", "Rust", 66, 0, 0, 0, 0, 0, 0, 0, 0, 8, 74
"d:\mgr\migration\src\schemas\m20241023_000004_create_sys_access_key.rs", "Rust", 67, 0, 0, 0, 0, 0, 0, 0, 0, 8, 75
"d:\mgr\migration\src\schemas\m20241023_000006_create_sys_domain.rs", "Rust", 64, 0, 0, 0, 0, 0, 0, 0, 0, 8, 72
"d:\mgr\migration\src\schemas\m20241023_000007_create_sys_endpoint.rs", "Rust", 53, 0, 0, 0, 0, 0, 0, 0, 0, 5, 58
"d:\mgr\migration\src\schemas\m20241023_000008_create_sys_login_log.rs", "Rust", 65, 0, 0, 0, 0, 0, 0, 0, 0, 5, 70
"d:\mgr\migration\src\schemas\m20241023_000009_create_sys_menu.rs", "Rust", 97, 0, 0, 0, 0, 0, 0, 0, 0, 8, 105
"d:\mgr\migration\src\schemas\m20241023_000010_create_sys_operation_log.rs", "Rust", 103, 0, 0, 0, 0, 0, 0, 0, 0, 5, 108
"d:\mgr\migration\src\schemas\m20241023_000011_create_sys_organization.rs", "Rust", 74, 0, 0, 0, 0, 0, 0, 0, 0, 8, 82
"d:\mgr\migration\src\schemas\m20241023_000012_create_sys_role_menu.rs", "Rust", 58, 0, 0, 0, 0, 0, 0, 0, 3, 8, 69
"d:\mgr\migration\src\schemas\m20241023_000013_create_sys_tokens.rs", "Rust", 67, 0, 0, 0, 0, 0, 0, 0, 0, 5, 72
